"CMP.Row","Country.Name","Date","CMP.Party.ID","Party.Name","Vote.Pct","Total.Per.Codes","Dimension.Emphasis","Raw.Nicheness.Score","Mean.Nicheness.Score","Standardised.Nicheness.Score"
832,"Belgium","24/11/1991",21421,"Party of Liberty and Progress",11.977,188,2.128,1.41956019282494,1.66784123084134,-0.2482810380164
833,"Belgium","24/11/1991",21422,"Liberal Reformation Party",8.141,1705,2.405,1.04725356139461,1.69356671847879,-0.646313157084185
834,"Belgium","24/11/1991",21521,"Christian People’s Party",16.815,935,5.562,2.71983028992138,1.38134652012834,1.33848376979304
835,"Belgium","24/11/1991",21522,"Christian Social Party",7.736,803,4.733,1.50775495677446,1.64647187323757,-0.138716916463107
836,"Belgium","24/11/1991",21912,"Francophone Democratic Front of Francophones",1.474,298,3.021,0.341044749839934,1.6562025683136,-1.31515781847366
837,"Belgium","24/11/1991",21913,"Peoples’ Union",5.893,337,2.967,0.41702438436992,1.72079326508703,-1.30376888071711
838,"Belgium","24/11/1991",21914,"Flemish Bloc",6.576,343,4.373,1.09777613462519,1.67725195520931,-0.579475820584118
839,"Belgium","21/05/1995",21111,"Ecologists",4.008,339,0,3.11442114947143,1.23178859562643,1.882632553845
840,"Belgium","21/05/1995",21112,"Live Differently",4.431,381,5.25,2.38145685859299,1.25925446459,1.12220239400299
841,"Belgium","21/05/1995",21321,"Flemish Socialist Party",12.557,851,2.351,0.727720080860872,1.40281895069591,-0.675098869835037
842,"Belgium","21/05/1995",21322,"Francophone Socialist Party",11.871,1775,1.972,1.15561075868138,1.33507167262135,-0.179460913939964
843,"Belgium","21/05/1995",21421,"Flemish Liberals and Democrats",13.148,208,1.923,1.2309339798351,1.32562027045799,-0.0946862906228898
844,"Belgium","21/05/1995",21423,"Liberal Reformation Party - Francophone Democratic Front",10.264,630,2.698,0.318022045073124,1.43467149122328,-1.11664944615016
845,"Belgium","21/05/1995",21521,"Christian People’s Party",17.176,820,5.366,2.92021112824803,0.951363618571769,1.96884750967626
846,"Belgium","21/05/1995",21522,"Christian Social Party",7.726,1344,3.273,0.318049524186231,1.40169877666551,-1.08364925247928
847,"Belgium","21/05/1995",21913,"Peoples’ Union",4.669,795,2.768,0.224361276189406,1.36939764387967,-1.14503636769026
848,"Belgium","21/05/1995",21914,"Flemish Bloc",7.834,1468,2.52,0.503263261502621,1.38616085821625,-0.882897596713634
849,"Belgium","13/06/1999",21111,"Ecologists",7.359,1771,1.128,1.22710134377853,1.67594788460352,-0.448846540824997
850,"Belgium","13/06/1999",21112,"Live Differently",6.991,2554,0.821,1.55359928665938,1.64778562669978,-0.0941863400404011
851,"Belgium","13/06/1999",21321,"Flemish Socialist Party",9.549,630,0.317,2.16176139502353,1.58179926735858,0.579962127664954
852,"Belgium","13/06/1999",21322,"Francophone Socialist Party",10.165,1103,1.269,1.11010370069619,1.70518976654292,-0.595086065846723
853,"Belgium","13/06/1999",21421,"Flemish Liberals and Democrats",14.304,1494,4.285,2.39013218260848,1.50611856005648,0.884013622552002
854,"Belgium","13/06/1999",21425,"Liberal Reformation Party - Francophone Democratic Front - Citizens’ Movement for Change",10.14,1499,0.2,2.30817644390325,1.55998365943782,0.748192784465437
855,"Belgium","13/06/1999",21521,"Christian Democratic and Flemish",14.088,1386,4.257,2.35072206770403,1.51546678528443,0.835255282419593
856,"Belgium","13/06/1999",21522,"Christian Social Party",5.879,612,2.451,0.204888250195963,1.73667127511724,-1.53178302492128
857,"Belgium","13/06/1999",21914,"Flemish Bloc",9.87,1468,2.52,0.291722737874244,1.79921934569504,-1.5074966078208
858,"Belgium","13/06/1999",21915,"People’s Union - Complete Democracy for the 21st century",5.561,1845,3.522,1.34256634784085,1.65954484008494,-0.316978492244092
859,"Belgium","18/05/2003",21111,"Ecologists",3.06,473,1.479,1.51282617331906,3.07955469362666,-1.5667285203076
